,symbol,time,close,volume,error
0,OOOTO,1673015281011151616,70.01416666666667,12,C
1,OOOTO,1673015282011151616,70.35230769230769,13,N
2,OOOTO,1673015283011151616,70.20416666666667,12,N
3,OOOTO,1673015284011151616,70.37349999999999,20,N
4,OOOTO,1673015285011151616,70.24647058823527,17,N
5,OOOTO,1673015286011151616,71.09500000000001,6,N
6,OOOTO,1673015287011151616,71.17153846153847,13,N
7,OOOTO,1673015288011151616,71.96714285714286,7,N
8,OOOTO,1673015289011151616,71.94666666666666,9,N
9,OOOTO,1673015290011151616,71.35384615384616,13,N
10,OOOTO,1673015291011151616,70.92882352941176,17,N
11,OOOTO,1673015292011151616,70.92882352941176,0,N
12,OOOTO,1673015293011151616,70.92882352941176,0,N
13,OOOTO,1673015294011151616,70.92882352941176,0,N
14,OOOTO,1673015295011151616,70.92882352941176,0,N
15,OOOTO,1673015296011151616,70.92882352941176,0,N
16,OOOTO,1673015297011151616,70.92882352941176,0,N
17,OOOTO,1673015298011151616,70.92882352941176,0,N
18,OOOTO,1673015299011151616,70.92882352941176,0,N
19,OOOTO,1673015300011151616,70.92882352941176,0,N
20,OOOTO,1673015301011151616,70.92882352941176,0,N
21,OOOTO,1673015302011151616,70.92882352941176,0,N
22,OOOTO,1673015303011151616,70.92882352941176,0,N
23,OOOTO,1673015304011151616,70.92882352941176,0,N
24,OOOTO,1673015305011151616,70.92882352941176,0,N
25,OOOTO,1673015306011151616,70.92882352941176,0,N
26,OOOTO,1673015307011151616,70.92882352941176,0,N
27,OOOTO,1673015308011151616,70.92882352941176,0,N
28,OOOTO,1673015309011151616,70.92882352941176,0,N
29,OOOTO,1673015310011151616,70.92882352941176,0,N
30,OOOTO,1673015311011151616,70.92882352941176,0,N
31,OOOTO,1673015312011151616,70.92882352941176,0,N
32,OOOTO,1673015313011151616,70.68,2,N
33,OOOTO,1673015314011151616,71.08999999999999,3,N
34,OOOTO,1673015315011151616,70.84571428571428,7,N
35,OOOTO,1673015316011151616,70.6575,4,N
36,OOOTO,1673015317011151616,71.88857142857144,7,N
37,OOOTO,1673015318011151616,70.50555555555555,9,N
38,OOOTO,1673015319011151616,70.50555555555555,0,N
39,OOOTO,1673015320011151616,70.23333333333333,3,N
40,OOOTO,1673015321011151616,70.47285714285714,7,N
41,OOOTO,1673015322011151616,71.035,6,N
42,OOOTO,1673015323011151616,71.84,2,N
43,OOOTO,1673015324011151616,71.84,0,N
44,OOOTO,1673015325011151616,71.85,1,N
45,OOOTO,1673015326011151616,71.865,2,N
46,OOOTO,1673015327011151616,71.83,1,N
47,OOOTO,1673015328011151616,69.44999999999999,2,N
48,OOOTO,1673015329011151616,69.91999999999999,5,N
49,OOOTO,1673015330011151616,71.865,2,N
50,OOOTO,1673015331011151616,69.44999999999999,8,N
51,OOOTO,1673015332011151616,70.40799999999999,5,N
52,OOOTO,1673015333011151616,70.23833333333333,6,N
53,OOOTO,1673015334011151616,71.26249999999999,4,N
54,OOOTO,1673015335011151616,70.64833333333333,6,N
55,OOOTO,1673015336011151616,69.425,6,N
56,OOOTO,1673015337011151616,69.44999999999999,2,N
57,OOOTO,1673015338011151616,71.03999999999999,3,N
58,OOOTO,1673015339011151616,71.36399999999999,5,N
59,OOOTO,1673015340011151616,70.9725,8,N
60,OOOTO,1673015341011151616,70.892,5,N
61,OOOTO,1673015342011151616,70.78857142857143,7,N
62,OOOTO,1673015343011151616,70.965,6,N
63,OOOTO,1673015344011151616,70.63833333333334,6,N
64,OOOTO,1673015345011151616,71.3288888888889,9,N
65,OOOTO,1673015346011151616,70.45700000000001,10,N
66,OOOTO,1673015347011151616,70.33333333333333,3,N
67,OOOTO,1673015348011151616,71.49,1,N
68,OOOTO,1673015349011151616,69.78,1,N
69,OOOTO,1673015350011151616,71.475,2,N
70,OOOTO,1673015351011151616,71.475,0,N
71,OOOTO,1673015352011151616,71.475,0,N
72,OOOTO,1673015353011151616,71.475,0,N
73,OOOTO,1673015354011151616,71.475,2,N
74,OOOTO,1673015355011151616,71.05499999999999,4,N
75,OOOTO,1673015356011151616,71.15599999999999,5,N
76,OOOTO,1673015357011151616,70.51714285714286,7,N
77,OOOTO,1673015358011151616,71.525,6,N
78,OOOTO,1673015359011151616,71.22,6,N
79,OOOTO,1673015360011151616,69.77000000000001,4,N
80,OOOTO,1673015361011151616,70.484,5,N
81,OOOTO,1673015362011151616,71.0409090909091,11,N
82,OOOTO,1673015363011151616,70.64166666666667,6,N
83,OOOTO,1673015364011151616,71.5,2,N
84,OOOTO,1673015365011151616,69.78999999999999,2,N
85,OOOTO,1673015366011151616,69.78999999999999,2,N
86,OOOTO,1673015367011151616,71.01285714285714,7,N
87,OOOTO,1673015368011151616,71.49,1,N
88,OOOTO,1673015369011151616,69.8,1,N
89,OOOTO,1673015370011151616,71.0725,8,N
90,OOOTO,1673015371011151616,71.0725,0,N
91,OOOTO,1673015372011151616,71.0725,0,N
92,OOOTO,1673015373011151616,70.67,2,N
93,OOOTO,1673015374011151616,70.67,0,N
94,OOOTO,1673015375011151616,70.838,5,N
95,OOOTO,1673015376011151616,71.49666666666667,3,N
96,OOOTO,1673015377011151616,71.46,1,N
97,OOOTO,1673015378011151616,69.815,4,N
98,OOOTO,1673015379011151616,71.49,1,N
99,OOOTO,1673015380011151616,70.75142857142856,7,N
100,OOOTO,1673015381011151616,70.64,6,N
101,OOOTO,1673015382011151616,71.28999999999999,8,N
102,OOOTO,1673015383011151616,71.28999999999999,0,N
103,OOOTO,1673015384011151616,71.51,1,N
104,OOOTO,1673015385011151616,71.51,0,N
105,OOOTO,1673015386011151616,71.49,1,N
106,OOOTO,1673015387011151616,71.5,2,N
107,OOOTO,1673015388011151616,71.475,2,N
108,OOOTO,1673015389011151616,70.91666666666667,3,N
109,OOOTO,1673015390011151616,69.94,10,N
110,OOOTO,1673015391011151616,70.63875,8,N
111,OOOTO,1673015392011151616,71.475,4,N
112,OOOTO,1673015393011151616,70.385,6,N
113,OOOTO,1673015394011151616,70.76857142857143,7,N
114,OOOTO,1673015395011151616,70.59733333333334,15,N
115,OOOTO,1673015396011151616,70.38083333333333,12,N
116,OOOTO,1673015397011151616,70.38083333333333,0,N
